"rk","player","pos","age","g","mp","per","tspercent","x3par","ftr","orbpercent","drbpercent","trbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","gs","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","mvp","roy","dpoy","smoy","mip"
266,"Ralph Sampson","C",28,61,1086,11.4,0.483,0.022,0.26,9.7,18.5,14.1,9,1.3,3.3,18.1,17.3,-0.3,1.4,1.1,0.048,-3.4,1.1,-2.4,-0.1,36,2.7,6,0.449,0,0.1,0.375,2.6,5.9,0.451,0.453,1,1.6,0.653,1.7,3.3,5,1.3,0.5,1.1,1.5,2.8,6.4,0,0,0,0,0
267,"Mike Sanders","SF",28,82,2102,10.5,0.482,0.014,0.184,5.6,10.6,8.2,8.8,2.1,0.9,11.6,18.1,0,3.1,3.1,0.071,-2.5,1,-1.5,0.3,82,4,8.9,0.453,0,0.1,0.3,4,8.8,0.455,0.455,1.2,1.6,0.719,1.2,2.5,3.7,1.6,1.1,0.4,1.3,2.8,9.3,0,0,0,0,0
268,"Danny Schayes","C",29,76,1918,15.4,0.618,0.015,0.662,7.2,20.3,13.4,6.9,1,2.4,17,18.8,3.2,2.4,5.6,0.141,-0.9,0.3,-0.6,0.7,64,4.2,8,0.522,0,0.1,0.333,4.1,7.9,0.525,0.525,4.4,5.3,0.826,1.9,4.7,6.6,1.4,0.6,1.1,2.1,4.2,12.8,0,0,0,0,0
269,"Russ Schoene","PF",28,69,774,12.1,0.479,0.315,0.163,8.1,16,11.9,6.4,2.3,1.9,11.4,21.7,0.4,0.9,1.3,0.078,-1.1,-1.1,-2.3,-0.1,1,2,5.1,0.387,0.6,1.6,0.382,1.3,3.5,0.389,0.447,0.7,0.8,0.807,0.8,1.6,2.4,0.5,0.5,0.3,0.7,2,5.2,0,0,0,0,0
270,"Detlef Schrempf","PF",26,69,1850,15.3,0.566,0.061,0.606,7.8,15.5,11.8,14,1.4,0.6,15.4,19.9,2.9,1.5,4.4,0.113,0.6,-0.1,0.6,1.2,13,4,8.4,0.474,0.1,0.5,0.2,3.9,7.9,0.492,0.48,4,5.1,0.78,1.8,3.9,5.7,2.6,0.8,0.3,1.9,3.2,12,0,0,0,0,0
271,"Byron Scott","SG",27,74,2605,16.6,0.558,0.161,0.189,3.3,9.2,6.5,13.1,2.1,0.6,10.8,23.1,4.1,2.6,6.8,0.125,1.8,-0.5,1.3,2.2,73,7.9,16.2,0.491,1,2.6,0.399,6.9,13.6,0.508,0.523,2.6,3.1,0.863,1,3.1,4.1,3.1,1.5,0.4,2.1,2.4,19.6,0,0,0,0,0
272,"Rony Seikaly","C",23,78,1962,10.8,0.471,0.005,0.476,11.2,20.5,15.7,4.4,1.1,3,18.2,22.8,-2.7,2.2,-0.5,-0.012,-5.2,-0.6,-5.7,-1.8,62,4.3,9.5,0.448,0,0.1,0.25,4.3,9.5,0.449,0.448,2.3,4.5,0.511,2.6,4.4,7,0.7,0.6,1.2,2.6,3.3,10.9,0,0,0,0,0
273,"Brad Sellers","PF",26,80,1732,10.6,0.529,0.013,0.212,5.9,9.2,7.6,7.7,1,2.4,12.2,14.7,1.3,1.4,2.6,0.073,-2.3,0.2,-2.1,0,25,2.9,6,0.485,0,0.1,0.5,2.9,5.9,0.485,0.488,1.1,1.3,0.851,1.1,1.8,2.8,1.2,0.4,0.9,0.9,2.2,6.9,0,0,0,0,0
274,"Charles Shackleford","C",22,60,484,13.9,0.501,0.006,0.25,11.1,24.4,17.6,6.5,1.5,2.2,12.6,18.1,0.2,0.6,0.8,0.076,-3,0.1,-3,-0.1,0,1.4,2.8,0.494,0,0,0,1.4,2.8,0.497,0.494,0.4,0.7,0.5,0.8,1.7,2.6,0.4,0.3,0.3,0.5,1.2,3.1,0,0,0,0,0
275,"John Shasky","C",24,65,944,12.7,0.555,0.008,0.673,11,16.8,13.8,3.4,0.7,0.8,12.5,15.8,1.2,0.7,1.9,0.097,-2.4,-2.1,-4.5,-0.6,4,1.9,3.8,0.488,0,0,0,1.9,3.8,0.492,0.488,1.8,2.6,0.689,1.5,2.1,3.6,0.3,0.2,0.2,0.7,1.4,5.5,0,0,0,0,0
